Food product,Type,Land use change,Animal Feed,Farm,Processing,Transport,Packaging,Retail,Total_emissions,Normalized,Eutrophying emissions per 1000kcal (gPO₄eq per 1000kcal),Eutrophying emissions per kilogram (gPO₄eq per kilogram),Eutrophying emissions per 100g protein (gPO₄eq per 100 grams protein),Freshwater withdrawals per 1000kcal (liters per 1000kcal),Freshwater withdrawals per 100g protein (liters per 100g protein),Freshwater withdrawals per kilogram (liters per kilogram),Greenhouse gas emissions per 1000kcal (kgCO₂eq per 1000kcal),Greenhouse gas emissions per 100g protein (kgCO₂eq per 100g protein),Land use per 1000kcal (m² per 1000kcal),Land use per kilogram (m² per kilogram),Land use per 100g protein (m² per 100g protein),Scarcity-weighted water use per kilogram (liters per kilogram),Scarcity-weighted water use per 100g protein (liters per 100g protein),Scarcity-weighted water use per 1000kcal (liters per 1000 kilocalories),Details,Comments
Wheat & Rye (Bread),Wheat,0.1,0,0.8,0.2,0.1,0.1,0.1,1.4,0.233333333,,,,,,,,,,,,,,,,
Maize (Meal),Vegetables,0.3,0,0.5,0.1,0.1,0.1,0,1.1,0.183333333,,,,,,,,,,,,,,,,
Barley (Beer),Sweets,0,0,0.2,0.1,0,0.5,0.3,1.1,0.183333333,,,,,,,,,,,,,,,,
Oatmeal,Grains,0,0,1.4,0,0.1,0.1,0,1.6,0.266666667,4.281357225,11.23,8.638461538,183.9115517,371.0769231,482.4,0.945482272,1.907692308,2.897445673,7.6,5.846153846,18786.2,14450.92308,7162.104461,,
Rice,Grains,0,0,3.6,0.1,0.1,0.1,0.1,4,0.666666667,9.51437873,35.07,49.3943662,609.9837222,3166.760563,2248.4,1.207270754,6.267605634,0.759631036,2.8,3.943661972,49576.3,69825.77465,13449.89148,,
Potatoes,Root vegetable,0,0,0.2,0,0.1,0,0,0.3,0.05,4.754098361,3.48,20.47058824,80.73770492,347.6470588,59.1,0.628415301,2.705882353,1.202185792,0.88,5.176470588,2754.2,16201.17647,3762.568306,,
Cassava,Root vegetable,0.6,0,0.2,0,0.1,0,0,0.9,0.15,0.708418891,0.69,7.666666667,,,0,1.35523614,14.66666667,1.858316222,1.81,20.11111111,0,,,,
Cane Sugar,Sugar,1.2,0,0.5,0,0.8,0.1,0,2.6,0.433333333,4.820512821,16.92,,176.6666667,,620.1,0.911680912,,0.581196581,2.04,,16438.6,,4683.361823,,
Beet Sugar,Sugar,0,0,0.5,0.2,0.6,0.1,0,1.4,0.233333333,1.541310541,5.41,,62.02279202,,217.7,0.515669516,,0.521367521,1.83,,9493.3,,2704.643875,,
Other Pulses,Lentils,0,0,1.1,0,0.1,0.4,0,1.6,0.266666667,5.008797654,17.08,7.97758057,,203.503036,435.7,0.524926686,0.836057917,4.565982405,15.57,7.272302662,22477.4,10498.55208,,,
Peas,Vegetables,0,0,0.7,0,0.1,0,0,0.8,0.133333333,2.173410405,7.52,3.384338434,,178.4878488,396.6,0.283236994,0.441044104,2.156069364,7.46,3.357335734,27948.2,12577.94779,,,
Nuts,Nuts,-2.1,0,2.1,0,0.1,0.1,0,0.2,0.033333333,3.113821138,19.15,11.72688304,672.1626016,2531.414574,4133.8,0.069918699,0.263319045,2.107317073,12.96,7.936313533,229889.8,140777.5873,37380.45528,,
Groundnuts,Nuts,0.4,0,1.4,0.4,0.1,0.1,0,2.4,0.4,2.437931034,14.14,5.401069519,319.362069,707.5248281,1852.3,0.556896552,1.233766234,1.570689655,9.11,3.479755539,61797.9,23605.00382,10654.81034,,
Soymilk,Meat alternatives,0.2,0,0.1,0.2,0.1,0.1,0.3,1,0.166666667,,1.06,,,,27.8,,,,0.66,,955.6,,,,
Tofu,Meat alternatives,1,0,0.5,0.8,0.2,0.2,0.3,3,0.5,,,,,,,,,,,,,,,,
Soybean Oil,Oil,3.1,0,1.5,0.3,0.3,0.8,0,6,1,,11.69,,,,414.6,,,,10.52,,14888.2,,,,
Palm Oil,Oil,3.1,0,2.1,1.3,0.2,0.9,0,7.6,1.266666667,1.207013575,10.67,,0.7239819,,6.4,0.828054299,,0.273755656,2.42,,36.2,,4.095022624,"When compared to similar items, This product consumes less energy in farming and land-use, more energy for processing, less energy for transportation",
Sunflower Oil,Oil,0.1,0,2.1,0.2,0.2,0.9,0,3.5,0.583333333,5.730769231,50.66,,114.0158371,,1007.9,0.407239819,,1.997737557,17.66,,36369.4,,4114.18552,"When compared to similar items, This product consumes less energy in farming and land-use, less energy for processing and more energy for transportation",
